DATE,HOMETEAM,AWAYTEAM,FTHG,FTAG,FTTG,Result
4/15/2017,Inter,Milan,2,2,4,0
4/15/2017,Napoli,Udinese,3,0,3,1
4/15/2017,Palermo,Bologna,0,0,0,0
4/15/2017,Pescara,Juventus,0,2,2,0
4/15/2017,Roma,Atalanta,1,1,2,0
4/15/2017,Sassuolo,Sampdoria,2,1,3,1
4/15/2017,Torino,Crotone,1,1,2,0
4/22/2017,Atalanta,Bologna,3,2,5,1
4/22/2017,Fiorentina,Inter,5,4,9,1
4/23/2017,Chievo,Torino,1,3,4,0
4/23/2017,Juventus,Genoa,4,0,4,1
4/23/2017,Lazio,Palermo,6,2,8,1
4/23/2017,Milan,Empoli,1,2,3,0
4/23/2017,Sampdoria,Crotone,1,2,3,0
4/23/2017,Sassuolo,Napoli,2,2,4,0
4/23/2017,Udinese,Cagliari,2,1,3,1
4/24/2017,Pescara,Roma,1,4,5,0
4/28/2017,Atalanta,Juventus,2,2,4,0
4/29/2017,Torino,Sampdoria,1,1,2,0
4/30/2017,Bologna,Udinese,4,0,4,1
4/30/2017,Cagliari,Pescara,1,0,1,1
4/30/2017,Crotone,Milan,1,1,2,0
4/30/2017,Empoli,Sassuolo,1,3,4,0
4/30/2017,Genoa,Chievo,1,2,3,0
4/30/2017,Inter,Napoli,0,1,1,0
4/30/2017,Palermo,Fiorentina,2,0,2,1
4/30/2017,Roma,Lazio,1,3,4,0
5/6/2017,Juventus,Torino,1,1,2,0
5/6/2017,Napoli,Cagliari,3,1,4,1
5/7/2017,Chievo,Palermo,1,1,2,0
5/7/2017,Empoli,Bologna,3,1,4,1
5/7/2017,Genoa,Inter,1,0,1,1
5/7/2017,Lazio,Sampdoria,7,3,10,1
5/7/2017,Milan,Roma,1,4,5,0
5/7/2017,Pescara,Crotone,0,1,1,0
5/7/2017,Sassuolo,Fiorentina,2,2,4,0
5/7/2017,Udinese,Atalanta,1,1,2,0
5/13/2017,Atalanta,Milan,1,1,2,0
5/13/2017,Fiorentina,Lazio,3,2,5,1
5/14/2017,Bologna,Pescara,3,1,4,1
5/14/2017,Cagliari,Empoli,3,2,5,1
5/14/2017,Crotone,Udinese,1,0,1,1
5/14/2017,Inter,Sassuolo,1,2,3,0
5/14/2017,Palermo,Genoa,1,0,1,1
5/14/2017,Roma,Juventus,3,1,4,1
5/14/2017,Sampdoria,Chievo,1,1,2,0
5/14/2017,Torino,Napoli,0,5,5,0
5/20/2017,Chievo,Roma,3,5,8,0
